brand,model,engine_size_l,cylinders,fuel_type,transmission,name,first_name,start_city,start_country,target_city,target_country,distance_km,date
ROLLS-ROYCE,GHOST,6.6,12,Z,AS8,Fickling,Kaia,Kerava,Finland,Askola,Finland,444.3910846,19-01-2014
TOYOTA,TACOMA 4WD,2.7,4,X,M5,Fildery,Sawyer,Naantali,Finland,Simpele,Finland,879.8195119,20-05-2014
VOLVO,XC90 T5 AWD,2,4,Z,AS8,Gavini,Micheal,Myrskylä,Finland,Velkua,Finland,784.4386001,21-10-2014
NISSAN,ALTIMA,2.5,4,X,AV,Ragot,Brittan,Polvijärvi,Finland,Lumijoki,Finland,981.849897,03-10-2014
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,Z,AM7,de Voiels,Herbert,Dragsfjärd,Finland,Lieto,Finland,917.9022921,01-05-2014
BMW,550i xDRIVE,4.4,,Z,AS8,Houlston,Earle,Laukaa,Finland,Ylivieska,Finland,879.4008008,20-12-2014
MINI,COOPER S 5 DOOR,2,4,Z,AS6,De Ruggiero,Charline,Alavus,Finland,Keuruu,Finland,719.7024996,18-02-2014
MERCEDES-BENZ,S 600,6,12,Z,AS7,Ordish,Fiann,Haapavesi,Finland,Teeriniemi,Finland,355.3704002,13-09-2014
TOYOTA,VENZA,3.5,6,,AS6,Tesauro,Giuseppe,Juupajoki,Finland,Vörå,Finland,800.9440949,01-01-2015
GMC,ACADIA,3.6,6,X,A6,Jeffryes,Hermine,Mynämäki,Finland,Turku,Finland,336.5992122,14-02-2014
TOYOTA,CAMRY HYBRID LE,2.5,4,,AV,Levick,Susanna,Kesälahti,Finland,Pyhäntä,Finland,245.9788275,30-03-2014
BMW,X4 M40i,3,6,Z,AS8,Rediers,Haskel,Säynätsalo,Finland,Urjala,Finland,879.9394283,09-02-2014
KIA,FORTE 5,2,4,X,M6,Hulett,Domenico,Pernå,Finland,Lapua,Finland,348.3348186,15-04-2014
PORSCHE,BOXSTER S,3.4,6,Z,AM7,Prettyman,Helaine,Lemi,Finland,Kauhajoki,Finland,114.5940839,18-07-2014
SUBARU,XV CROSSTREK AWD,2,4,,AV6,Lindenman,Josi,Heinävesi,Finland,Uurainen,Finland,508.7548263,17-10-2014
AUDI,TT ROADSTER QUATTRO,2,4,X,AM6,Ruggiero,Nadeen,Kristinestad,Finland,Sumiainen,Finland,639.1778828,04-02-2014
JAGUAR,F-TYPE S CONVERTIBLE,3,6,Z,AS8,Jellis,Ethelred,Pomarkku,Finland,Pielavesi,Finland,924.1023149,10-03-2014
DODGE,CHARGER (MDS),5.7,,X,A5,Amos,Tab,Suomussalmi,Finland,Suodenniemi,Finland,40.55784507,21-10-2014
BMW,M5,4.4,8,Z,M6,Cusworth,Zane,Haapajärvi,Finland,Kangaslampi,Finland,643.5595966,14-12-2014
CADILLAC,CTS AWD,3.6,6,X,AS8,Bogies,Donielle,Kronoby,Finland,Varkaus,Finland,6.220123214,28-06-2014
GMC,SIERRA FFV,4.3,6,E,A6,Wainwright,Veronike,Haukipudas,Finland,Kittilä,Finland,190.1287661,08-01-2015
CHEVROLET,SILVERADO eASSIST 4WD,5.3,8,X,A8,Bertouloume,Mei,Kivijärvi,Finland,Oulunsalo,Finland,214.6338484,29-12-2014
TOYOTA,CAMRY HYBRID XLE/SE,2.5,4,X,AV,MacPadene,Shepherd,Lappajärvi,Finland,Viitasaari,Finland,317.1037746,14-06-2014
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Rue,Allyn,Lohja,Finland,Kestilä,Finland,567.6833528,08-06-2014
KIA,FORTE KOUP,2,4,,AS6,Lownes,Boniface,Jalasjärvi,Finland,Ruotsinpyhtää,Finland,530.5021926,30-05-2014
HONDA,CR-Z,1.5,4,X,M6,Hulett,Domenico,Lempäälä,Finland,Lammi,Finland,770.5297064,26-04-2014
VOLKSWAGEN,JETTA,1.4,4,X,M5,Kinsett,Vita,Hanko,Finland,Hyrynsalmi,Finland,524.1639344,19-08-2014
DODGE,CHARGER SRT (MDS),6.4,8,Z,A8,Kembley,Jaquelin,Lapua,Finland,Tyrnävä,Finland,694.0902347,16-07-2014
RAM,1500 4X4 ECODIESEL,3,6,D,A8,Chittock,Patrick,Kinnula,Finland,Heinola,Finland,275.5723581,06-02-2014
VOLKSWAGEN,GOLF R,2,4,Z,M6,Mansour,Garrett,Pöytyä,Finland,Janakkala,Finland,268.7755004,15-09-2014
SUBARU,IMPREZA WAGON AWD,2,,X,AV6,Gedge,Brendin,Raisio,Finland,Kullaa,Finland,510.2454571,30-01-2014
FORD,FOCUS FFV,2,4,X,AM6,Sorro,Adorne,Säynätsalo,Finland,Parola,Finland,324.3485185,22-04-2014
ACURA,MDX SH-AWD ELITE,3.5,6,Z,AS9,Letson,Scarlet,Malax,Finland,Ylöjärvi,Finland,157.2257761,20-11-2014
HYUNDAI,SONATA SPORT/LIMITED,2.4,4,X,AS6,Bielfeld,Brandtr,Kajaani,Finland,Kalvola,Finland,373.8540988,25-10-2014
KIA,SORENTO,2,4,X,AS6,Sponton,Boycie,Bennäs,Finland,Mänttä,Finland,193.0685883,24-04-2014
CADILLAC,XTS,3.6,6,X,AS6,De Antoni,West,Orimattila,Finland,Yli-Ii,Finland,316.4063391,18-11-2014
ACURA,MDX SH-AWD ELITE,3.5,6,Z,AS9,Pestridge,Jodi,Ypäjä,Finland,Kankaanpää,Finland,470.3205659,04-12-2014
BUICK,REGAL AWD,2,4,Z,AS6,Lelievre,Ware,Kiiminki,Finland,Ruukki,Finland,755.9338687,25-01-2014
AUDI,A5 CABRIOLET QUATTRO,2,4,Z,AS8,Nani,Don,Oitti,Finland,Halikko,Finland,787.6761082,31-03-2014
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,Z,AS8,Chrystal,Boyce,Kalajoki,Finland,Petäjävesi,Finland,8.950576082,16-06-2014
LAMBORGHINI,HURACAN,5.2,10,Z,AM7,Macklam,Tymothy,Gumböle,Finland,Evijärvi,Finland,897.7912833,30-01-2014
INFINITI,Q50S RED SPORT AWD,3,6,Z,AS7,Ridger,Penn,Savonlinna,Finland,Karvia,Finland,85.45672897,01-08-2014
DODGE,CHARGER FFV,3.6,6,E,A5,Cowp,Adele,Suomusjärvi,Finland,Sulkava,Finland,126.0533394,31-05-2014
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Dunkerton,Adriane,Virrat,Finland,Juva,Finland,434.8937503,16-11-2014
HYUNDAI,EQUUS,5,8,Z,AS8,Brosio,Gwendolin,Vuosaari,Finland,Naantali,Finland,44.83380378,30-05-2014
GMC,CANYON,3.6,,X,A6,Lound,Marne,Urjala,Finland,Vehmersalmi,Finland,428.7450714,30-07-2014
SUBARU,LEGACY AWD,2.5,,X,AV6,Shergill,Gerianna,Virtasalmi,Finland,Lammi,Finland,944.604773,02-02-2014
CHEVROLET,SUBURBAN FFV,5.3,8,X,A6,Davage,Gayle,Älajärvi,Finland,Vesanto,Finland,963.4280094,05-06-2014
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Cloake,Felix,Pargas,Finland,Inari,Finland,671.5360862,15-05-2014
MINI,COOPER S CLUBMAN,2,4,Z,M6,De Antoni,West,Padasjoki,Finland,Salla,Finland,30.85625913,10-09-2014
JAGUAR,F-TYPE COUPE,3,6,Z,M6,Cowp,Adele,Eno,Finland,Ranua,Finland,124.4373618,18-01-2014
FORD,MUSTANG,2.3,4,X,AS6,Stock,Justinn,Uurainen,Finland,Joroinen,Finland,50.62264237,24-05-2014
BMW,640i xDRIVE GRAN COUPE,3,6,Z,AS8,Petrashkov,Suellen,Tuupovaara,Finland,Harjavalta,Finland,374.0251421,05-04-2014
TOYOTA,PRIUS v,1.8,4,X,AV,Casbourne,Livy,Haapajärvi,Finland,Kemi,Finland,210.6948587,19-12-2014
VOLVO,XC60 T6,2,4,Z,AS8,Jakobssen,Jody,Kerimäki,Finland,Kalvola,Finland,196.0800126,26-11-2014
JAGUAR,F-TYPE R AWD CONVERTIBLE,5,,,AS8,Jerrard,Nikki,Lieto,Finland,Artjärvi,Finland,750.6325482,05-05-2014
VOLKSWAGEN,PASSAT,1.8,4,X,M6,Swepson,Inness,Ristiina,Finland,Nurmijärvi,Finland,706.8377006,05-01-2015
MASERATI,GRANTURISMO CONVERTIBLE,4.7,8,Z,AS6,Fain,Petra,Tuupovaara,Finland,Nilsiä,Finland,628.0645467,03-12-2014
AUDI,TTS COUPE QUATTRO,2,4,Z,AM6,Wainwright,Veronike,Keminmaa,Finland,Kiikala,Finland,174.1025844,18-08-2014
HONDA,CR-Z,1.5,4,X,M6,Stanton,Joey,Nickby,Finland,Parkano,Finland,539.8879666,20-11-2014
FORD,TAURUS FFV AWD,3.5,6,X,AS6,Rocks,Hadrian,Kristinestad,Finland,Valtimo,Finland,706.2211142,20-05-2014
HYUNDAI,ELANTRA,2,4,X,M6,Fowlds,Melitta,Virrat,Finland,Nokia,Finland,489.5353861,23-10-2014
GMC,CANYON,2.8,4,,A6,Aronsohn,Salvador,Petäjävesi,Finland,Längelmäki,Finland,839.576486,02-01-2015
DODGE,GRAND CARAVAN FFV,3.6,6,E,A6,Gozard,Olympie,Kaavi,Finland,Lovisa,Finland,677.9957974,25-04-2014
MITSUBISHI,MIRAGE,1.2,,X,AV,Greste,Ermanno,Pertteli,Finland,Luumäki,Finland,630.0471547,28-07-2014
PORSCHE,911 TARGA 4,3.4,,Z,AM7,Damarell,Seana,Ytteresse,Finland,Jämsä,Finland,434.4444605,29-05-2014
VOLVO,XC60 T6,2,4,Z,AS8,de Voiels,Herbert,Hauho,Finland,Heinävesi,Finland,764.6380892,30-09-2014
HONDA,ACCORD SPORT,2.4,4,X,AV7,Coath,Betty,Askainen,Finland,Haapajärvi,Finland,217.7890412,21-02-2014
VOLKSWAGEN,PASSAT,1.8,4,X,AS6,Kembley,Jaquelin,Simo,Finland,Suolahti,Finland,620.4823174,04-10-2014
FORD,EDGE,3.5,6,X,AS6,Steinor,Meredithe,Hankasalmi,Finland,Mikkeli,Finland,244.3902421,11-08-2014
BMW,650i xDRIVE COUPE,4.4,8,Z,AS8,Northcliffe,Sheila,Siikajoki,Finland,Sonkajärvi,Finland,451.8959442,28-07-2014
KIA,OPTIMA HYBRID EX,2.4,4,X,AM6,Vaune,Jefferey,Iniö,Finland,Nivala,Finland,219.9273566,13-09-2014
FORD,F-150 FFV (Payload Pkg),5,8,,AS6,Garvey,Benito,Joutseno,Finland,Lestijärvi,Finland,144.1368944,28-12-2014
CHEVROLET,COLORADO 4WD,3.6,,X,A6,Kingescot,Willow,Merikarvia,Finland,Nagu,Finland,25.2001197,23-05-2014
PORSCHE,911 CARRERA 4 GTS,3.8,6,Z,AM7,Ridger,Penn,Pihtipudas,Finland,Nykarleby,Finland,923.5085029,22-06-2014
JEEP,PATRIOT 4X4 TRAIL RATED,2.4,4,X,AV,Charley,Donielle,Tyrnävä,Finland,Isojoki,Finland,202.2175033,09-01-2015
KIA,SPORTAGE,2.4,4,X,AS6,Fontaine,Obadias,Karhula,Finland,Salla,Finland,22.86921151,16-02-2014
MERCEDES-BENZ,AMG S 65 COUPE,6,12,Z,AS7,Donald,Feodora,Nastola,Finland,Taivassalo,Finland,761.1477826,23-07-2014
FIAT,500 CABRIO,1.4,4,,A6,Giffon,Lidia,Oulainen,Finland,Ähtäri,Finland,375.0210511,25-07-2014
JEEP,CHEROKEE 4X4 FFV,2.4,4,X,A9,Jachimak,Christoffer,Oulu,Finland,Järvelä,Finland,228.5516022,20-02-2014
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Dunkerton,Adriane,Virrat,Finland,Ristiina,Finland,766.6338532,18-06-2014
FORD,F-150,2.7,6,X,AS6,Liddon,Gwenette,Kangaslampi,Finland,Hartola,Finland,794.3992154,17-12-2014
FORD,EDGE,2,4,X,AS6,Tipens,Ekaterina,Nykarleby,Finland,Ruokolahti,Finland,245.1841288,29-08-2014
FORD,MUSTANG CONVERTIBLE,5,,X,AS6,Liddon,Gwenette,Vaasa,Finland,Varkaus,Finland,825.8427363,15-10-2014
FIAT,500 HATCHBACK TURBO,1.4,4,X,A6,Capon,Ilise,Simpele,Finland,Kannus,Finland,715.7412509,25-01-2014
DODGE,GRAND CARAVAN FFV,3.6,6,E,A6,Tommasetti,Alexio,Elimäki,Finland,Tarvasjoki,Finland,761.1244623,20-10-2014
GMC,SIERRA FFV,5.3,8,X,A6,MacKain,Beverlee,Taipalsaari,Finland,Suomusjärvi,Finland,335.801182,08-05-2014
KIA,FORTE KOUP,1.6,4,X,M6,Ahlf,Derby,Sumiainen,Finland,Tyrnävä,Finland,508.9855219,21-01-2014
FORD,ESCAPE,1.6,,X,AS6,Hansed,Ladonna,Hollola,Finland,Kuhmo,Finland,229.7734762,07-01-2015
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,,M7,Whitford,Stacy,Laukaa,Finland,Nastola,Finland,257.9036335,27-11-2014
BMW,228i,2,4,Z,M6,Jopke,Biddy,Muhos,Finland,Tohmajärvi,Finland,739.1158725,14-07-2014
CHEVROLET,SILVERADO 4WD FFV,4.3,6,E,A6,Killock,Judy,Simpele,Finland,Kuhmo,Finland,633.7229454,22-03-2014
JEEP,CHEROKEE 4X4,2.4,4,X,A9,Kinnen,Maiga,Suodenniemi,Finland,Savitaipale,Finland,188.4352958,25-11-2014
MAZDA,MAZDA6,2.5,4,X,AS6,Kavanagh,Janet,Tammela,Finland,Rautavaara,Finland,222.0814147,17-07-2014
BMW,X3 xDRIVE28d,2,4,,AS8,Shand,Ferdinand,Jämsänkoski,Finland,Hirvensalmi,Finland,41.4196637,09-07-2014
MINI,COOPER 5 DOOR,1.5,3,Z,AS6,Stoppe,Ally,Orivesi,Finland,Tammela,Finland,516.0240592,10-08-2014
FORD,TRANSIT CONNECT WAGON LWB,2.5,4,X,AS6,Ubsdell,Ezechiel,Viiala,Finland,Parikkala,Finland,338.1933028,12-06-2014
CHEVROLET,COLORADO 4WD,2.8,4,D,A6,Vittel,Nickey,Nuijamaa,Finland,Rantsila,Finland,907.3111635,28-03-2014
PORSCHE,911 CARRERA 4 CABRIOLET,3.4,6,Z,M7,Serrell,Micki,Mäntsälä,Finland,Kiikoinen,Finland,20.63333275,19-08-2014
PORSCHE,CAYMAN,2.7,6,Z,M6,Freer,Cybil,Laihia,Finland,Noormarkku,Finland,825.4591184,04-01-2015
PORSCHE,911 TURBO CABRIOLET,3.8,6,,AM7,Gilders,Abram,Vieremä,Finland,Harjavalta,Finland,298.1770641,25-06-2014
PORSCHE,911 TARGA 4,3.4,,Z,AM7,Braime,Adam,Luopioinen,Finland,Karttula,Finland,906.0290946,08-02-2014
BMW,228i xDRIVE CABRIOLET,2,4,Z,AS8,Duplain,Nefen,Särkisalo,Finland,Lappi,Finland,245.91223,11-11-2014
AUDI,A8L QUATTRO,6.3,12,Z,AS8,Stenning,Annmaria,Suodenniemi,Finland,Hailuoto,Finland,641.0134833,18-11-2014
KIA,FORTE,2,4,X,AS6,Douberday,Munmro,Närpes,Finland,Kaskinen,Finland,178.1175244,21-06-2014
MINI,COOPER S 5 DOOR,2,4,Z,AS6,Winterbourne,Sile,Luumäki,Finland,Köyliö,Finland,914.9876388,31-12-2014
BMW,435i CABRIOLET,3,6,Z,AS8,Corbie,Megen,Hamina,Finland,Loppi,Finland,225.2897379,28-12-2014
NISSAN,SENTRA,1.8,4,X,M6,Annetts,Meredithe,Vantaa,Finland,Outokumpu,Finland,853.3481693,12-09-2014
AUDI,A5 QUATTRO,2,4,Z,AS8,Blinder,Sigmund,Yläne,Finland,Parkano,Finland,936.837195,17-03-2014
FORD,FUSION AWD,2,4,X,AS6,Pinsent,Debbi,Hankasalmi,Finland,Järvelä,Finland,624.8563615,07-04-2014
DODGE,CHARGER,3.6,6,X,A5,Heineke,Kelcie,Kuhmoinen,Finland,Kuortane,Finland,92.57678139,02-03-2014
DODGE,DART TURBO AERO,1.4,4,,AM6,Beri,Ginni,Sauvo,Finland,Kärkölä,Finland,800.8573665,07-08-2014
VOLVO,S60 T5,2,4,X,AS8,Klessmann,Roseanne,Toholampi,Finland,Perho,Finland,576.8667442,22-03-2014
GMC,TERRAIN,2.4,4,X,A6,Wanell,Suellen,Ristijärvi,Finland,Halsua,Finland,22.49541588,29-11-2014
MASERATI,GHIBLI SQ4,3,6,Z,AS8,Kavanagh,Janet,Puolanka,Finland,Pieksämäki,Finland,39.87272262,21-01-2014
LINCOLN,MKT LIVERY,2,4,X,AS6,O'Cuddie,Dagny,Rantasalmi,Finland,Artjärvi,Finland,771.7806278,09-08-2014
TOYOTA,TUNDRA 4WD,5.7,8,,AS6,Dewbury,Johnny,Kannus,Finland,Renko,Finland,612.1513097,27-09-2014
JAGUAR,XJL 3.0 AWD PORTFOLIO,3,6,Z,AS8,Douberday,Munmro,Ristijärvi,Finland,Säynätsalo,Finland,572.6719415,28-08-2014
HYUNDAI,SONATA SPORT/LIMITED,2.4,4,X,AS6,Benneton,Geordie,Ylikiiminki,Finland,Multia,Finland,502.9348495,19-12-2014
LAND ROVER,RANGE ROVER TD6 DIESEL,3,6,D,AS8,Anfosso,Ahmed,Mouhijärvi,Finland,Mäntyharju,Finland,815.5138097,29-09-2014
RAM,1500 4X4 (MDS),5.7,8,X,A6,Spykins,Fanny,Kirkkonummi,Finland,Joroinen,Finland,622.659981,19-09-2014
FORD,FUSION,2.5,4,X,AS6,Beaver,Erastus,Pomarkku,Finland,Kärsämäki,Finland,758.200664,18-03-2014
JEEP,CHEROKEE TRAILHAWK 4X4,2.4,4,X,A9,McCarl,Anette,Längelmäki,Finland,Kauniainen,Finland,412.2452517,19-07-2014
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,,M7,Tume,Peggie,Marttila,Finland,Haapajärvi,Finland,848.167297,14-08-2014
FIAT,500X,1.4,4,X,M6,Bardey,Stinky,Joutsa,Finland,Utajärvi,Finland,111.2812657,01-08-2014
INFINITI,Q50S AWD,3,6,Z,AS7,Chrystal,Boyce,Kärkölä,Finland,Karttula,Finland,632.8477717,17-11-2014
KIA,RONDO,2,4,X,M6,Matyas,Lauri,Parikkala,Finland,Haukivuori,Finland,4.975478423,18-02-2014
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Cluff,Edgar,Jalasjärvi,Finland,Joutseno,Finland,366.0066231,13-01-2014
BENTLEY,FLYING SPUR,4,8,Z,AS8,Odney,Dedra,Kannonkoski,Finland,Liminka,Finland,872.0587715,11-09-2014
RAM,1500 (MDS),5.7,8,X,A6,Greste,Ermanno,Broby,Finland,Muurame,Finland,724.5684979,09-09-2014
LINCOLN,MKX AWD,3.7,6,X,AS6,Lehrer,Sharlene,Tammela,Finland,Laitila,Finland,827.3763094,20-03-2014
KIA,SORENTO AWD,2,4,X,AS6,Faas,Odetta,Ylöjärvi,Finland,Pornainen,Finland,891.9683666,19-09-2014
BMW,X3 xDRIVE28d,2,4,,AS8,Abbyss,Enrika,Broby,Finland,Kauhava,Finland,60.10261623,06-03-2014
SUBARU,LEGACY AWD,3.6,6,X,AV6,Cullinane,Andy,Ylivieska,Finland,Kihniö,Finland,428.1052891,19-02-2014
PORSCHE,CAYMAN GTS,3.4,6,Z,AM7,Crips,Emalee,Houtskär,Finland,Rauma,Finland,671.7325486,23-04-2014
RAM,1500 FFV,3.6,6,E,A8,Eddisforth,Jaquith,Kempele,Finland,Raahe,Finland,161.8872277,18-07-2014
KIA,FORTE,2,4,X,M6,Rignall,Wynn,Teuva,Finland,Kivijärvi,Finland,596.0360347,06-04-2014
TOYOTA,HIGHLANDER HYBRID AWD,3.5,6,X,AV6,Aloshikin,Britni,Sulkava,Finland,Paltamo,Finland,71.63155003,03-07-2014
JEEP,CHEROKEE,2.4,4,X,A9,Brooksby,Dav,Luvia,Finland,Kajaani,Finland,518.3662863,02-11-2014
AUDI,A3,1.8,4,X,AM6,Mangion,Cheryl,Lempäälä,Finland,Ylämaa,Finland,735.9375299,01-11-2014
CHEVROLET,EQUINOX,3.6,6,X,A6,Broxton,Phylis,Taivalkoski,Finland,Haukipudas,Finland,243.3610944,12-06-2014
HYUNDAI,SANTA FE SPORT AWD,2.4,,X,AS6,Fain,Petra,Pukkila,Finland,Karijoki,Finland,23.58729364,22-10-2014
BMW,428i GRAN COUPE,2,4,Z,M6,Chuney,Neille,Kalajoki,Finland,Ruokolahti,Finland,775.816882,28-02-2014
CHEVROLET,SONIC 5,1.8,4,X,M5,Duplain,Nefen,Kauhajoki,Finland,Isojoki,Finland,315.2481092,05-07-2014
MASERATI,GHIBLI SQ4,3,6,Z,AS8,Fullerd,Pietro,Nakkila,Finland,Tervakoski,Finland,45.5351794,03-10-2014
BMW,435i xDRIVE COUPE,3,6,Z,M6,Trank,Clarissa,Lammi,Finland,Kållby,Finland,430.3441392,13-06-2014
