brand,model,engine_size_l,cylinders,fuel_type,transmission,name,first_name,start_city,start_country,target_city,target_country,distance_km,date
TOYOTA,TACOMA 4WD,2.7,4,X,M5,Fildery,Sawyer,Naantali,Finland,Simpele,Finland,879.819511936649,2014-05-20
VOLVO,XC90 T5 AWD,2,4,Z,AS8,Gavini,Micheal,Myrskylä,Finland,Velkua,Finland,784.438600087086,2014-10-21
NISSAN,ALTIMA,2.5,4,X,AV,Ragot,Brittan,Polvijärvi,Finland,Lumijoki,Finland,981.849897005812,2014-10-03
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,Z,AM7,de Voiels,Herbert,Dragsfjärd,Finland,Lieto,Finland,917.902292115223,2014-05-01
BMW,550i xDRIVE,4.4,,Z,AS8,Houlston,Earle,Laukaa,Finland,Ylivieska,Finland,879.400800840248,2014-12-20
MINI,COOPER S 5 DOOR,2,4,Z,AS6,De Ruggiero,Charline,Alavus,Finland,Keuruu,Finland,719.702499644285,2014-02-18
MERCEDES-BENZ,S 600,6,12,Z,AS7,Ordish,Fiann,Haapavesi,Finland,Teeriniemi,Finland,355.370400152889,2014-09-13
TOYOTA,VENZA,3.5,6,,AS6,Tesauro,Giuseppe,Juupajoki,Finland,Vörå,Finland,800.944094921597,2015-01-01
GMC,ACADIA,3.6,6,X,A6,Jeffryes,Hermine,Mynämäki,Finland,Turku,Finland,336.599212243033,2014-02-14
TOYOTA,CAMRY HYBRID LE,2.5,4,,AV,Levick,Susanna,Kesälahti,Finland,Pyhäntä,Finland,245.978827454437,2014-03-30
BMW,X4 M40i,3,6,Z,AS8,Rediers,Haskel,Säynätsalo,Finland,Urjala,Finland,879.939428299362,2014-02-09
KIA,FORTE 5,2,4,X,M6,Hulett,Domenico,Pernå,Finland,Lapua,Finland,348.3348186464,2014-04-15
PORSCHE,BOXSTER S,3.4,6,Z,AM7,Prettyman,Helaine,Lemi,Finland,Kauhajoki,Finland,114.59408392037,2014-07-18
SUBARU,XV CROSSTREK AWD,2,4,,AV6,Lindenman,Josi,Heinävesi,Finland,Uurainen,Finland,508.754826306927,2014-10-17
AUDI,TT ROADSTER QUATTRO,2,4,X,AM6,Ruggiero,Nadeen,Kristinestad,Finland,Sumiainen,Finland,639.17788277028,2014-02-04
JAGUAR,F-TYPE S CONVERTIBLE,3,6,Z,AS8,Jellis,Ethelred,Pomarkku,Finland,Pielavesi,Finland,924.102314874609,2014-03-10
DODGE,CHARGER (MDS),5.7,,X,A5,Amos,Tab,Suomussalmi,Finland,Suodenniemi,Finland,40.5578450748756,2014-10-21
BMW,M5,4.4,8,Z,M6,Cusworth,Zane,Haapajärvi,Finland,Kangaslampi,Finland,643.55959663466,2014-12-14
CADILLAC,CTS AWD,3.6,6,X,AS8,Bogies,Donielle,Kronoby,Finland,Varkaus,Finland,6.22012321388965,2014-06-28
GMC,SIERRA FFV,4.3,6,E,A6,Wainwright,Veronike,Haukipudas,Finland,Kittilä,Finland,190.128766105765,2015-01-08
CHEVROLET,SILVERADO eASSIST 4WD,5.3,8,X,A8,Bertouloume,Mei,Kivijärvi,Finland,Oulunsalo,Finland,214.63384842281,2014-12-29
TOYOTA,CAMRY HYBRID XLE/SE,2.5,4,X,AV,MacPadene,Shepherd,Lappajärvi,Finland,Viitasaari,Finland,317.10377461232,2014-06-14
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Rue,Allyn,Lohja,Finland,Kestilä,Finland,567.683352815788,2014-06-08
KIA,FORTE KOUP,2,4,,AS6,Lownes,Boniface,Jalasjärvi,Finland,Ruotsinpyhtää,Finland,530.502192620482,2014-05-30
HONDA,CR-Z,1.5,4,X,M6,Hulett,Domenico,Lempäälä,Finland,Lammi,Finland,770.529706418003,2014-04-26
VOLKSWAGEN,JETTA,1.4,4,X,M5,Kinsett,Vita,Hanko,Finland,Hyrynsalmi,Finland,524.163934441301,2014-08-19
DODGE,CHARGER SRT (MDS),6.4,8,Z,A8,Kembley,Jaquelin,Lapua,Finland,Tyrnävä,Finland,694.090234723284,2014-07-16
RAM,1500 4X4 ECODIESEL,3,6,D,A8,Chittock,Patrick,Kinnula,Finland,Heinola,Finland,275.572358123643,2014-02-06
VOLKSWAGEN,GOLF R,2,4,Z,M6,Mansour,Garrett,Pöytyä,Finland,Janakkala,Finland,268.775500387335,2014-09-15
SUBARU,IMPREZA WAGON AWD,2,,X,AV6,Gedge,Brendin,Raisio,Finland,Kullaa,Finland,510.245457118327,2014-01-30
FORD,FOCUS FFV,2,4,X,AM6,Sorro,Adorne,Säynätsalo,Finland,Parola,Finland,324.348518482488,2014-04-22
ACURA,MDX SH-AWD ELITE,3.5,6,Z,AS9,Letson,Scarlet,Malax,Finland,Ylöjärvi,Finland,157.225776129213,2014-11-20
HYUNDAI,SONATA SPORT/LIMITED,2.4,4,X,AS6,Bielfeld,Brandtr,Kajaani,Finland,Kalvola,Finland,373.854098798986,2014-10-25
KIA,SORENTO,2,4,X,AS6,Sponton,Boycie,Bennäs,Finland,Mänttä,Finland,193.068588337322,2014-04-24
CADILLAC,XTS,3.6,6,X,AS6,De Antoni,West,Orimattila,Finland,Yli-Ii,Finland,316.40633911325,2014-11-18
ACURA,MDX SH-AWD ELITE,3.5,6,Z,AS9,Pestridge,Jodi,Ypäjä,Finland,Kankaanpää,Finland,470.32056587614,2014-12-04
BUICK,REGAL AWD,2,4,Z,AS6,Lelievre,Ware,Kiiminki,Finland,Ruukki,Finland,755.933868696474,2014-01-25
AUDI,A5 CABRIOLET QUATTRO,2,4,Z,AS8,Nani,Don,Oitti,Finland,Halikko,Finland,787.676108240827,2014-03-31
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,Z,AS8,Chrystal,Boyce,Kalajoki,Finland,Petäjävesi,Finland,8.95057608153849,2014-06-16
LAMBORGHINI,HURACAN,5.2,10,Z,AM7,Macklam,Tymothy,Gumböle,Finland,Evijärvi,Finland,897.79128330618,2014-01-30
INFINITI,Q50S RED SPORT AWD,3,6,Z,AS7,Ridger,Penn,Savonlinna,Finland,Karvia,Finland,85.4567289734263,2014-08-01
DODGE,CHARGER FFV,3.6,6,E,A5,Cowp,Adele,Suomusjärvi,Finland,Sulkava,Finland,126.05333940186,2014-05-31
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Dunkerton,Adriane,Virrat,Finland,Juva,Finland,434.893750344678,2014-11-16
HYUNDAI,EQUUS,5,8,Z,AS8,Brosio,Gwendolin,Vuosaari,Finland,Naantali,Finland,44.8338037753366,2014-05-30
GMC,CANYON,3.6,,X,A6,Lound,Marne,Urjala,Finland,Vehmersalmi,Finland,428.745071428011,2014-07-30
SUBARU,LEGACY AWD,2.5,,X,AV6,Shergill,Gerianna,Virtasalmi,Finland,Lammi,Finland,944.604773048734,2014-02-02
CHEVROLET,SUBURBAN FFV,5.3,8,X,A6,Davage,Gayle,Älajärvi,Finland,Vesanto,Finland,963.428009388259,2014-06-05
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Cloake,Felix,Pargas,Finland,Inari,Finland,671.536086188087,2014-05-15
MINI,COOPER S CLUBMAN,2,4,Z,M6,De Antoni,West,Padasjoki,Finland,Salla,Finland,30.8562591269634,2014-09-10
JAGUAR,F-TYPE COUPE,3,6,Z,M6,Cowp,Adele,Eno,Finland,Ranua,Finland,124.43736178329,2014-01-18
FORD,MUSTANG,2.3,4,X,AS6,Stock,Justinn,Uurainen,Finland,Joroinen,Finland,50.6226423695963,2014-05-24
BMW,640i xDRIVE GRAN COUPE,3,6,Z,AS8,Petrashkov,Suellen,Tuupovaara,Finland,Harjavalta,Finland,374.025142084807,2014-04-05
TOYOTA,PRIUS v,1.8,4,X,AV,Casbourne,Livy,Haapajärvi,Finland,Kemi,Finland,210.694858710696,2014-12-19
VOLVO,XC60 T6,2,4,Z,AS8,Jakobssen,Jody,Kerimäki,Finland,Kalvola,Finland,196.080012560241,2014-11-26
JAGUAR,F-TYPE R AWD CONVERTIBLE,5,,,AS8,Jerrard,Nikki,Lieto,Finland,Artjärvi,Finland,750.632548234542,2014-05-05
VOLKSWAGEN,PASSAT,1.8,4,X,M6,Swepson,Inness,Ristiina,Finland,Nurmijärvi,Finland,706.837700603405,2015-01-05
MASERATI,GRANTURISMO CONVERTIBLE,4.7,8,Z,AS6,Fain,Petra,Tuupovaara,Finland,Nilsiä,Finland,628.064546718221,2014-12-03
AUDI,TTS COUPE QUATTRO,2,4,Z,AM6,Wainwright,Veronike,Keminmaa,Finland,Kiikala,Finland,174.102584447294,2014-08-18
HONDA,CR-Z,1.5,4,X,M6,Stanton,Joey,Nickby,Finland,Parkano,Finland,539.887966637387,2014-11-20
FORD,TAURUS FFV AWD,3.5,6,X,AS6,Rocks,Hadrian,Kristinestad,Finland,Valtimo,Finland,706.221114191269,2014-05-20
HYUNDAI,ELANTRA,2,4,X,M6,Fowlds,Melitta,Virrat,Finland,Nokia,Finland,489.535386114142,2014-10-23
GMC,CANYON,2.8,4,,A6,Aronsohn,Salvador,Petäjävesi,Finland,Längelmäki,Finland,839.576485968887,2015-01-02
DODGE,GRAND CARAVAN FFV,3.6,6,E,A6,Gozard,Olympie,Kaavi,Finland,Lovisa,Finland,677.995797362691,2014-04-25
MITSUBISHI,MIRAGE,1.2,,X,AV,Greste,Ermanno,Pertteli,Finland,Luumäki,Finland,630.047154679961,2014-07-28
PORSCHE,911 TARGA 4,3.4,,Z,AM7,Damarell,Seana,Ytteresse,Finland,Jämsä,Finland,434.444460459716,2014-05-29
VOLVO,XC60 T6,2,4,Z,AS8,de Voiels,Herbert,Hauho,Finland,Heinävesi,Finland,764.638089150875,2014-09-30
HONDA,ACCORD SPORT,2.4,4,X,AV7,Coath,Betty,Askainen,Finland,Haapajärvi,Finland,217.789041223277,2014-02-21
VOLKSWAGEN,PASSAT,1.8,4,X,AS6,Kembley,Jaquelin,Simo,Finland,Suolahti,Finland,620.482317352643,2014-10-04
FORD,EDGE,3.5,6,X,AS6,Steinor,Meredithe,Hankasalmi,Finland,Mikkeli,Finland,244.390242086041,2014-08-11
BMW,650i xDRIVE COUPE,4.4,8,Z,AS8,Northcliffe,Sheila,Siikajoki,Finland,Sonkajärvi,Finland,451.895944229147,2014-07-28
KIA,OPTIMA HYBRID EX,2.4,4,X,AM6,Vaune,Jefferey,Iniö,Finland,Nivala,Finland,219.927356590297,2014-09-13
FORD,F-150 FFV (Payload Pkg),5,8,,AS6,Garvey,Benito,Joutseno,Finland,Lestijärvi,Finland,144.136894433093,2014-12-28
CHEVROLET,COLORADO 4WD,3.6,,X,A6,Kingescot,Willow,Merikarvia,Finland,Nagu,Finland,25.2001196996474,2014-05-23
PORSCHE,911 CARRERA 4 GTS,3.8,6,Z,AM7,Ridger,Penn,Pihtipudas,Finland,Nykarleby,Finland,923.508502862173,2014-06-22
JEEP,PATRIOT 4X4 TRAIL RATED,2.4,4,X,AV,Charley,Donielle,Tyrnävä,Finland,Isojoki,Finland,202.217503299117,2015-01-09
KIA,SPORTAGE,2.4,4,X,AS6,Fontaine,Obadias,Karhula,Finland,Salla,Finland,22.8692115051992,2014-02-16
MERCEDES-BENZ,AMG S 65 COUPE,6,12,Z,AS7,Donald,Feodora,Nastola,Finland,Taivassalo,Finland,761.147782579314,2014-07-23
FIAT,500 CABRIO,1.4,4,,A6,Giffon,Lidia,Oulainen,Finland,Ähtäri,Finland,375.021051095626,2014-07-25
JEEP,CHEROKEE 4X4 FFV,2.4,4,X,A9,Jachimak,Christoffer,Oulu,Finland,Järvelä,Finland,228.551602168956,2014-02-20
DODGE,CHALLENGER SRT,6.4,8,Z,M6,Dunkerton,Adriane,Virrat,Finland,Ristiina,Finland,766.633853233191,2014-06-18
FORD,F-150,2.7,6,X,AS6,Liddon,Gwenette,Kangaslampi,Finland,Hartola,Finland,794.399215407694,2014-12-17
FORD,EDGE,2,4,X,AS6,Tipens,Ekaterina,Nykarleby,Finland,Ruokolahti,Finland,245.184128766706,2014-08-29
FORD,MUSTANG CONVERTIBLE,5,,X,AS6,Liddon,Gwenette,Vaasa,Finland,Varkaus,Finland,825.842736274574,2014-10-15
FIAT,500 HATCHBACK TURBO,1.4,4,X,A6,Capon,Ilise,Simpele,Finland,Kannus,Finland,715.741250895409,2014-01-25
DODGE,GRAND CARAVAN FFV,3.6,6,E,A6,Tommasetti,Alexio,Elimäki,Finland,Tarvasjoki,Finland,761.124462322329,2014-10-20
GMC,SIERRA FFV,5.3,8,X,A6,MacKain,Beverlee,Taipalsaari,Finland,Suomusjärvi,Finland,335.801182006502,2014-05-08
KIA,FORTE KOUP,1.6,4,X,M6,Ahlf,Derby,Sumiainen,Finland,Tyrnävä,Finland,508.985521914958,2014-01-21
FORD,ESCAPE,1.6,,X,AS6,Hansed,Ladonna,Hollola,Finland,Kuhmo,Finland,229.773476168265,2015-01-07
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,,M7,Whitford,Stacy,Laukaa,Finland,Nastola,Finland,257.903633467933,2014-11-27
BMW,228i,2,4,Z,M6,Jopke,Biddy,Muhos,Finland,Tohmajärvi,Finland,739.115872500658,2014-07-14
CHEVROLET,SILVERADO 4WD FFV,4.3,6,E,A6,Killock,Judy,Simpele,Finland,Kuhmo,Finland,633.722945436851,2014-03-22
JEEP,CHEROKEE 4X4,2.4,4,X,A9,Kinnen,Maiga,Suodenniemi,Finland,Savitaipale,Finland,188.435295802126,2014-11-25
MAZDA,MAZDA6,2.5,4,X,AS6,Kavanagh,Janet,Tammela,Finland,Rautavaara,Finland,222.081414685306,2014-07-17
BMW,X3 xDRIVE28d,2,4,,AS8,Shand,Ferdinand,Jämsänkoski,Finland,Hirvensalmi,Finland,41.4196637018271,2014-07-09
MINI,COOPER 5 DOOR,1.5,3,Z,AS6,Stoppe,Ally,Orivesi,Finland,Tammela,Finland,516.02405919008,2014-08-10
FORD,TRANSIT CONNECT WAGON LWB,2.5,4,X,AS6,Ubsdell,Ezechiel,Viiala,Finland,Parikkala,Finland,338.19330281715,2014-06-12
CHEVROLET,COLORADO 4WD,2.8,4,D,A6,Vittel,Nickey,Nuijamaa,Finland,Rantsila,Finland,907.311163482021,2014-03-28
PORSCHE,911 CARRERA 4 CABRIOLET,3.4,6,Z,M7,Serrell,Micki,Mäntsälä,Finland,Kiikoinen,Finland,20.6333327518529,2014-08-19
PORSCHE,CAYMAN,2.7,6,Z,M6,Freer,Cybil,Laihia,Finland,Noormarkku,Finland,825.459118417079,2015-01-04
PORSCHE,911 TURBO CABRIOLET,3.8,6,,AM7,Gilders,Abram,Vieremä,Finland,Harjavalta,Finland,298.177064114729,2014-06-25
PORSCHE,911 TARGA 4,3.4,,Z,AM7,Braime,Adam,Luopioinen,Finland,Karttula,Finland,906.02909459605,2014-02-08
BMW,228i xDRIVE CABRIOLET,2,4,Z,AS8,Duplain,Nefen,Särkisalo,Finland,Lappi,Finland,245.912229967313,2014-11-11
AUDI,A8L QUATTRO,6.3,12,Z,AS8,Stenning,Annmaria,Suodenniemi,Finland,Hailuoto,Finland,641.013483310594,2014-11-18
KIA,FORTE,2,4,X,AS6,Douberday,Munmro,Närpes,Finland,Kaskinen,Finland,178.117524448982,2014-06-21
MINI,COOPER S 5 DOOR,2,4,Z,AS6,Winterbourne,Sile,Luumäki,Finland,Köyliö,Finland,914.987638785746,2014-12-31
BMW,435i CABRIOLET,3,6,Z,AS8,Corbie,Megen,Hamina,Finland,Loppi,Finland,225.289737869016,2014-12-28
NISSAN,SENTRA,1.8,4,X,M6,Annetts,Meredithe,Vantaa,Finland,Outokumpu,Finland,853.348169311481,2014-09-12
AUDI,A5 QUATTRO,2,4,Z,AS8,Blinder,Sigmund,Yläne,Finland,Parkano,Finland,936.83719503284,2014-03-17
FORD,FUSION AWD,2,4,X,AS6,Pinsent,Debbi,Hankasalmi,Finland,Järvelä,Finland,624.856361458114,2014-04-07
DODGE,CHARGER,3.6,6,X,A5,Heineke,Kelcie,Kuhmoinen,Finland,Kuortane,Finland,92.5767813942393,2014-03-02
DODGE,DART TURBO AERO,1.4,4,,AM6,Beri,Ginni,Sauvo,Finland,Kärkölä,Finland,800.85736646263,2014-08-07
VOLVO,S60 T5,2,4,X,AS8,Klessmann,Roseanne,Toholampi,Finland,Perho,Finland,576.86674416458,2014-03-22
GMC,TERRAIN,2.4,4,X,A6,Wanell,Suellen,Ristijärvi,Finland,Halsua,Finland,22.4954158820907,2014-11-29
MASERATI,GHIBLI SQ4,3,6,Z,AS8,Kavanagh,Janet,Puolanka,Finland,Pieksämäki,Finland,39.8727226199718,2014-01-21
LINCOLN,MKT LIVERY,2,4,X,AS6,O'Cuddie,Dagny,Rantasalmi,Finland,Artjärvi,Finland,771.780627785454,2014-08-09
TOYOTA,TUNDRA 4WD,5.7,8,,AS6,Dewbury,Johnny,Kannus,Finland,Renko,Finland,612.15130965326,2014-09-27
JAGUAR,XJL 3.0 AWD PORTFOLIO,3,6,Z,AS8,Douberday,Munmro,Ristijärvi,Finland,Säynätsalo,Finland,572.671941524533,2014-08-28
HYUNDAI,SONATA SPORT/LIMITED,2.4,4,X,AS6,Benneton,Geordie,Ylikiiminki,Finland,Multia,Finland,502.93484954609,2014-12-19
LAND ROVER,RANGE ROVER TD6 DIESEL,3,6,D,AS8,Anfosso,Ahmed,Mouhijärvi,Finland,Mäntyharju,Finland,815.513809702004,2014-09-29
RAM,1500 4X4 (MDS),5.7,8,X,A6,Spykins,Fanny,Kirkkonummi,Finland,Joroinen,Finland,622.659980995326,2014-09-19
FORD,FUSION,2.5,4,X,AS6,Beaver,Erastus,Pomarkku,Finland,Kärsämäki,Finland,758.200663993918,2014-03-18
JEEP,CHEROKEE TRAILHAWK 4X4,2.4,4,X,A9,McCarl,Anette,Längelmäki,Finland,Kauniainen,Finland,412.245251739389,2014-07-19
PORSCHE,911 CARRERA S CABRIOLET,3.8,6,,M7,Tume,Peggie,Marttila,Finland,Haapajärvi,Finland,848.167296988684,2014-08-14
FIAT,500X,1.4,4,X,M6,Bardey,Stinky,Joutsa,Finland,Utajärvi,Finland,111.281265709724,2014-08-01
INFINITI,Q50S AWD,3,6,Z,AS7,Chrystal,Boyce,Kärkölä,Finland,Karttula,Finland,632.847771680247,2014-11-17
KIA,RONDO,2,4,X,M6,Matyas,Lauri,Parikkala,Finland,Haukivuori,Finland,4.97547842256196,2014-02-18
TOYOTA,TACOMA 4WD,3.5,6,,AS6,Cluff,Edgar,Jalasjärvi,Finland,Joutseno,Finland,366.006623116654,2014-01-13
BENTLEY,FLYING SPUR,4,8,Z,AS8,Odney,Dedra,Kannonkoski,Finland,Liminka,Finland,872.058771475213,2014-09-11
RAM,1500 (MDS),5.7,8,X,A6,Greste,Ermanno,Broby,Finland,Muurame,Finland,724.568497939416,2014-09-09
LINCOLN,MKX AWD,3.7,6,X,AS6,Lehrer,Sharlene,Tammela,Finland,Laitila,Finland,827.376309406699,2014-03-20
KIA,SORENTO AWD,2,4,X,AS6,Faas,Odetta,Ylöjärvi,Finland,Pornainen,Finland,891.968366609426,2014-09-19
BMW,X3 xDRIVE28d,2,4,,AS8,Abbyss,Enrika,Broby,Finland,Kauhava,Finland,60.1026162311236,2014-03-06
SUBARU,LEGACY AWD,3.6,6,X,AV6,Cullinane,Andy,Ylivieska,Finland,Kihniö,Finland,428.105289086346,2014-02-19
PORSCHE,CAYMAN GTS,3.4,6,Z,AM7,Crips,Emalee,Houtskär,Finland,Rauma,Finland,671.732548611555,2014-04-23
RAM,1500 FFV,3.6,6,E,A8,Eddisforth,Jaquith,Kempele,Finland,Raahe,Finland,161.887227729785,2014-07-18
KIA,FORTE,2,4,X,M6,Rignall,Wynn,Teuva,Finland,Kivijärvi,Finland,596.036034701644,2014-04-06
TOYOTA,HIGHLANDER HYBRID AWD,3.5,6,X,AV6,Aloshikin,Britni,Sulkava,Finland,Paltamo,Finland,71.6315500334161,2014-07-03
JEEP,CHEROKEE,2.4,4,X,A9,Brooksby,Dav,Luvia,Finland,Kajaani,Finland,518.366286294818,2014-11-02
AUDI,A3,1.8,4,X,AM6,Mangion,Cheryl,Lempäälä,Finland,Ylämaa,Finland,735.937529896056,2014-11-01
CHEVROLET,EQUINOX,3.6,6,X,A6,Broxton,Phylis,Taivalkoski,Finland,Haukipudas,Finland,243.361094383804,2014-06-12
HYUNDAI,SANTA FE SPORT AWD,2.4,,X,AS6,Fain,Petra,Pukkila,Finland,Karijoki,Finland,23.5872936392525,2014-10-22
BMW,428i GRAN COUPE,2,4,Z,M6,Chuney,Neille,Kalajoki,Finland,Ruokolahti,Finland,775.816882019779,2014-02-28
